FirstName,LastName,Department,Office,JobTitle,OU
Thabo,Ndlovu,Management,Durban,Managing Director,"OU=Management,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Lindiwe,Cronje,Management,Durban,Deputy Managing Director,"OU=Management,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Werner,Botha,Management,Durban,General Manager,"OU=Management,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Kagiso,Modise,IT,Durban,IT Manager,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Thabo,Mkhwanazi,IT,Durban,Network Administrator,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Lerato,Van der Merwe,IT,Durban,Systems Administrator,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Sibusiso,Naidoo,IT,Durban,Help Desk Technician,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Candice,Pillay,IT,Durban,IT Support Technician,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Ashwin,Govender,IT,Durban,Security Analyst,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Nomfundo,Zulu,IT,Durban,Systems Engineer,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Craig,Fourie,IT,Durban,Database Administrator,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Yusuf,Cassim,IT,Durban,Software Developer,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Palesa,Sithole,IT,Durban,Software Developer,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Dean,Abrahams,IT,Durban,Cloud Engineer,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Zinhle,Buthelezi,IT,Durban,IT Support Technician,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Ricardo,Petersen,IT,Durban,Network Engineer,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
